ATT_NUMBER,SEASON,WEEK,GDATE,WEEKDAY,TIME,TIME_BUCKET,WIN_LOSS,HOME_GAME,OT,REG_OR_POST,OPP,OPP_DIVISION,OPP_CONFERENCE,QTR,DOWN,YTG,COMPLETION,RECEIVER,RECEIVER_ID,RECEIVER_POS,YDS,TD,INT,FIRST_DOWN,AIR_YDS,YDS_AFTER_CATCH,QB_POSITION,FIELD_TARGET
1411,2012,3,9/23/2012,1,12:00 PM,Early,W,1,0,Reg,Rams,NFC-West,NFC,1,2,7,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Under Center,RS
1415,2012,3,9/23/2012,1,12:00 PM,Early,W,1,0,Reg,Rams,NFC-West,NFC,1,1,10,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Under Center,R
1420,2012,3,9/23/2012,1,12:00 PM,Early,W,1,0,Reg,Rams,NFC-West,NFC,2,2,10,1,Alshon Jeffery,11,WR,10,0,0,1,9,1,Shotgun,LS
1427,2012,3,9/23/2012,1,12:00 PM,Early,W,1,0,Reg,Rams,NFC-West,NFC,3,1,10,1,Alshon Jeffery,11,WR,10,0,0,1,6,4,Under Center,RS
1428,2012,3,9/23/2012,1,12:00 PM,Early,W,1,0,Reg,Rams,NFC-West,NFC,4,1,10,1,Alshon Jeffery,11,WR,10,0,0,1,5,5,Under Center,LS
1431,2012,3,9/23/2012,1,12:00 PM,Early,W,1,0,Reg,Rams,NFC-West,NFC,4,1,10,1,Alshon Jeffery,11,WR,8,0,0,0,6,2,Under Center,RS
1435,2012,3,9/23/2012,1,12:00 PM,Early,W,1,0,Reg,Rams,NFC-West,NFC,4,1,10,1,Alshon Jeffery,11,WR,7,0,0,0,5,2,Under Center,LS
1437,2012,4,10/1/2012,2,7:30 PM,Primetime,W,0,0,Reg,Cowboys,NFC-East,NFC,1,1,10,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Under Center,RS
1446,2012,4,10/1/2012,2,7:30 PM,Primetime,W,0,0,Reg,Cowboys,NFC-East,NFC,2,1,10,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Under Center,RS
1449,2012,4,10/1/2012,2,7:30 PM,Primetime,W,0,0,Reg,Cowboys,NFC-East,NFC,3,1,10,1,Alshon Jeffery,11,WR,11,0,0,1,11,0,Under Center,RS
1450,2012,4,10/1/2012,2,7:30 PM,Primetime,W,0,0,Reg,Cowboys,NFC-East,NFC,3,2,8,1,Alshon Jeffery,11,WR,16,0,0,1,16,0,Under Center,L
1455,2012,4,10/1/2012,2,7:30 PM,Primetime,W,0,0,Reg,Cowboys,NFC-East,NFC,3,1,10,1,Alshon Jeffery,11,WR,5,0,0,0,4,1,Under Center,LS
1467,2012,5,10/7/2012,1,3:05 PM,Late,W,0,0,Reg,Jaguars,AFC-South,AFC,1,3,8,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Shotgun,LS
1469,2012,5,10/7/2012,1,3:05 PM,Late,W,0,0,Reg,Jaguars,AFC-South,AFC,2,2,8,1,Alshon Jeffery,11,WR,10,0,0,1,9,1,Under Center,RS
1494,2012,5,10/7/2012,1,3:05 PM,Late,W,0,0,Reg,Jaguars,AFC-South,AFC,3,1,10,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Under Center,L
1497,2012,5,10/7/2012,1,3:05 PM,Late,W,0,0,Reg,Jaguars,AFC-South,AFC,4,1,10,1,Alshon Jeffery,11,WR,10,1,0,1,8,2,Under Center,R
1658,2012,14,12/9/2012,1,12:00 PM,Early,L,0,0,Reg,Vikings,NFC-North,NFC,1,3,4,0,Alshon Jeffery,11,WR,0,0,1,0,0,0,Shotgun,R
1673,2012,14,12/9/2012,1,12:00 PM,Early,L,0,0,Reg,Vikings,NFC-North,NFC,2,1,10,1,Alshon Jeffery,11,WR,23,1,0,1,22,1,Shotgun,RS
1680,2012,14,12/9/2012,1,12:00 PM,Early,L,0,0,Reg,Vikings,NFC-North,NFC,3,3,8,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Shotgun,LS
1685,2012,14,12/9/2012,1,12:00 PM,Early,L,0,0,Reg,Vikings,NFC-North,NFC,3,2,15,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Under Center,LS
1689,2012,14,12/9/2012,1,12:00 PM,Early,L,0,0,Reg,Vikings,NFC-North,NFC,4,3,6,1,Alshon Jeffery,11,WR,30,0,0,1,27,3,Shotgun,RS
1696,2012,14,12/9/2012,1,12:00 PM,Early,L,0,0,Reg,Vikings,NFC-North,NFC,4,1,10,1,Alshon Jeffery,11,WR,4,0,0,0,4,0,Shotgun,RS
1701,2012,15,12/16/2012,1,12:00 PM,Early,L,1,0,Reg,Packers,NFC-North,NFC,1,3,6,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Shotgun,L
1710,2012,15,12/16/2012,1,12:00 PM,Early,L,1,0,Reg,Packers,NFC-North,NFC,3,2,11,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Shotgun,RS
1712,2012,15,12/16/2012,1,12:00 PM,Early,L,1,0,Reg,Packers,NFC-North,NFC,4,1,10,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Under Center,LS
1718,2012,15,12/16/2012,1,12:00 PM,Early,L,1,0,Reg,Packers,NFC-North,NFC,4,4,9,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Shotgun,LS
1723,2012,16,12/23/2012,1,3:15 PM,Late,W,0,0,Reg,Cardinals,NFC-West,NFC,1,1,10,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Under Center,LS
1733,2012,16,12/23/2012,1,3:15 PM,Late,W,0,0,Reg,Cardinals,NFC-West,NFC,2,2,3,1,Alshon Jeffery,11,WR,35,0,0,1,30,5,Shotgun,RS
1743,2012,16,12/23/2012,1,3:15 PM,Late,W,0,0,Reg,Cardinals,NFC-West,NFC,3,3,3,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Under Center,LS
1745,2012,16,12/23/2012,1,3:15 PM,Late,W,0,0,Reg,Cardinals,NFC-West,NFC,4,3,3,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Under Center,RS
1747,2012,17,12/30/2012,1,12:00 PM,Early,W,0,0,Reg,Lions,NFC-North,NFC,1,1,10,1,Alshon Jeffery,11,WR,55,0,0,1,32,23,Under Center,RS
1754,2012,17,12/30/2012,1,12:00 PM,Early,W,0,0,Reg,Lions,NFC-North,NFC,2,3,5,1,Alshon Jeffery,11,WR,5,0,0,1,4,1,Shotgun,M
1755,2012,17,12/30/2012,1,12:00 PM,Early,W,0,0,Reg,Lions,NFC-North,NFC,2,1,10,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Under Center,LS
1761,2012,17,12/30/2012,1,12:00 PM,Early,W,0,0,Reg,Lions,NFC-North,NFC,2,3,9,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Shotgun,LS
1762,2012,17,12/30/2012,1,12:00 PM,Early,W,0,0,Reg,Lions,NFC-North,NFC,3,1,10,1,Alshon Jeffery,11,WR,9,0,0,0,9,0,Under Center,LS
1763,2012,17,12/30/2012,1,12:00 PM,Early,W,0,0,Reg,Lions,NFC-North,NFC,3,2,1,1,Alshon Jeffery,11,WR,7,0,0,1,7,0,Under Center,LS
1765,2012,17,12/30/2012,1,12:00 PM,Early,W,0,0,Reg,Lions,NFC-North,NFC,3,3,10,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Shotgun,RS
1779,2013,1,9/8/2013,1,12:00 PM,Early,W,1,0,Reg,Bengals,AFC-North,AFC,1,3,2,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Shotgun,R
1780,2013,1,9/8/2013,1,12:00 PM,Early,W,1,0,Reg,Bengals,AFC-North,AFC,1,2,1,1,Alshon Jeffery,11,WR,4,0,0,1,2,2,Under Center,R
1792,2013,1,9/8/2013,1,12:00 PM,Early,W,1,0,Reg,Bengals,AFC-North,AFC,2,2,10,1,Alshon Jeffery,11,WR,3,0,0,0,2,1,Under Center,L
1793,2013,1,9/8/2013,1,12:00 PM,Early,W,1,0,Reg,Bengals,AFC-North,AFC,2,3,7,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Shotgun,R
1797,2013,1,9/8/2013,1,12:00 PM,Early,W,1,0,Reg,Bengals,AFC-North,AFC,3,1,10,1,Alshon Jeffery,11,WR,12,0,0,1,0,12,Under Center,LS
1801,2013,1,9/8/2013,1,12:00 PM,Early,W,1,0,Reg,Bengals,AFC-North,AFC,3,1,10,1,Alshon Jeffery,11,WR,18,0,0,1,18,0,Shotgun,R
1802,2013,1,9/8/2013,1,12:00 PM,Early,W,1,0,Reg,Bengals,AFC-North,AFC,3,1,10,1,Alshon Jeffery,11,WR,5,0,0,0,5,0,Shotgun,L
1807,2013,1,9/8/2013,1,12:00 PM,Early,W,1,0,Reg,Bengals,AFC-North,AFC,4,1,20,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Shotgun,LS
1815,2013,2,9/15/2013,1,12:00 PM,Early,W,1,0,Reg,Vikings,NFC-North,NFC,1,3,10,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Shotgun,RS
1828,2013,2,9/15/2013,1,12:00 PM,Early,W,1,0,Reg,Vikings,NFC-North,NFC,2,2,2,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Shotgun,L
1840,2013,2,9/15/2013,1,12:00 PM,Early,W,1,0,Reg,Vikings,NFC-North,NFC,4,1,10,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Shotgun,M
1843,2013,2,9/15/2013,1,12:00 PM,Early,W,1,0,Reg,Vikings,NFC-North,NFC,4,2,12,1,Alshon Jeffery,11,WR,11,0,0,0,11,0,Shotgun,R
1847,2013,2,9/15/2013,1,12:00 PM,Early,W,1,0,Reg,Vikings,NFC-North,NFC,4,2,10,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Shotgun,RS
1850,2013,3,9/22/2013,1,7:30 PM,Primetime,W,0,0,Reg,Steelers,AFC-North,AFC,1,1,10,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Under Center,RS
1851,2013,3,9/22/2013,1,7:30 PM,Primetime,W,0,0,Reg,Steelers,AFC-North,AFC,1,2,10,1,Alshon Jeffery,11,WR,7,0,0,0,5,2,Shotgun,R
1852,2013,3,9/22/2013,1,7:30 PM,Primetime,W,0,0,Reg,Steelers,AFC-North,AFC,1,3,3,1,Alshon Jeffery,11,WR,8,0,0,1,4,4,Shotgun,LS
1853,2013,3,9/22/2013,1,7:30 PM,Primetime,W,0,0,Reg,Steelers,AFC-North,AFC,1,1,10,1,Alshon Jeffery,11,WR,9,0,0,0,10,-1,Under Center,R
1855,2013,3,9/22/2013,1,7:30 PM,Primetime,W,0,0,Reg,Steelers,AFC-North,AFC,1,2,6,1,Alshon Jeffery,11,WR,7,0,0,1,7,0,Shotgun,RS
1865,2013,3,9/22/2013,1,7:30 PM,Primetime,W,0,0,Reg,Steelers,AFC-North,AFC,2,2,9,1,Alshon Jeffery,11,WR,4,0,0,0,-2,6,Shotgun,RS
1867,2013,3,9/22/2013,1,7:30 PM,Primetime,W,0,0,Reg,Steelers,AFC-North,AFC,3,2,8,1,Alshon Jeffery,11,WR,8,0,0,1,5,3,Shotgun,LS
1870,2013,3,9/22/2013,1,7:30 PM,Primetime,W,0,0,Reg,Steelers,AFC-North,AFC,3,2,10,1,Alshon Jeffery,11,WR,8,0,0,0,8,0,Shotgun,R
1882,2013,4,9/29/2013,1,12:00 PM,Early,L,0,0,Reg,Lions,NFC-North,NFC,1,3,9,1,Alshon Jeffery,11,WR,6,0,0,0,6,0,Shotgun,L
1884,2013,4,9/29/2013,1,12:00 PM,Early,L,0,0,Reg,Lions,NFC-North,NFC,1,3,3,0,Alshon Jeffery,11,WR,0,0,1,0,0,0,Shotgun,M
1885,2013,4,9/29/2013,1,12:00 PM,Early,L,0,0,Reg,Lions,NFC-North,NFC,2,1,10,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Under Center,L
1892,2013,4,9/29/2013,1,12:00 PM,Early,L,0,0,Reg,Lions,NFC-North,NFC,2,2,10,1,Alshon Jeffery,11,WR,36,0,0,1,29,7,Shotgun,RS
1896,2013,4,9/29/2013,1,12:00 PM,Early,L,0,0,Reg,Lions,NFC-North,NFC,3,1,10,1,Alshon Jeffery,11,WR,44,0,0,1,41,3,Under Center,RS
1898,2013,4,9/29/2013,1,12:00 PM,Early,L,0,0,Reg,Lions,NFC-North,NFC,3,3,5,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Shotgun,RS
1900,2013,4,9/29/2013,1,12:00 PM,Early,L,0,0,Reg,Lions,NFC-North,NFC,3,3,18,0,Alshon Jeffery,11,WR,0,0,1,0,0,0,Shotgun,R
1915,2013,4,9/29/2013,1,12:00 PM,Early,L,0,0,Reg,Lions,NFC-North,NFC,4,2,10,1,Alshon Jeffery,11,WR,7,0,0,0,7,0,Shotgun,RS
1916,2013,4,9/29/2013,1,12:00 PM,Early,L,0,0,Reg,Lions,NFC-North,NFC,4,3,3,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Shotgun,RS
1917,2013,4,9/29/2013,1,12:00 PM,Early,L,0,0,Reg,Lions,NFC-North,NFC,4,4,3,1,Alshon Jeffery,11,WR,14,1,0,1,14,0,Shotgun,RS
1922,2013,4,9/29/2013,1,12:00 PM,Early,L,0,0,Reg,Lions,NFC-North,NFC,4,2,2,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Shotgun,LS
1927,2013,5,10/6/2013,1,12:00 PM,Early,L,1,0,Reg,Saints,NFC-South,NFC,1,2,10,1,Alshon Jeffery,11,WR,5,0,0,0,4,1,Shotgun,L
1928,2013,5,10/6/2013,1,12:00 PM,Early,L,1,0,Reg,Saints,NFC-South,NFC,1,1,10,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Under Center,RS
1938,2013,5,10/6/2013,1,12:00 PM,Early,L,1,0,Reg,Saints,NFC-South,NFC,2,3,5,1,Alshon Jeffery,11,WR,31,0,0,1,17,14,Shotgun,M
1940,2013,5,10/6/2013,1,12:00 PM,Early,L,1,0,Reg,Saints,NFC-South,NFC,2,2,2,1,Alshon Jeffery,11,WR,3,1,0,1,3,0,Shotgun,LS
1941,2013,5,10/6/2013,1,12:00 PM,Early,L,1,0,Reg,Saints,NFC-South,NFC,2,1,10,1,Alshon Jeffery,11,WR,11,0,0,1,11,0,Shotgun,L
1943,2013,5,10/6/2013,1,12:00 PM,Early,L,1,0,Reg,Saints,NFC-South,NFC,2,1,10,1,Alshon Jeffery,11,WR,25,0,0,1,20,5,Shotgun,L
1944,2013,5,10/6/2013,1,12:00 PM,Early,L,1,0,Reg,Saints,NFC-South,NFC,3,1,10,1,Alshon Jeffery,11,WR,42,0,0,1,38,4,Under Center,M
1946,2013,5,10/6/2013,1,12:00 PM,Early,L,1,0,Reg,Saints,NFC-South,NFC,3,1,9,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Shotgun,RS
1948,2013,5,10/6/2013,1,12:00 PM,Early,L,1,0,Reg,Saints,NFC-South,NFC,3,3,9,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Shotgun,RS
1954,2013,5,10/6/2013,1,12:00 PM,Early,L,1,0,Reg,Saints,NFC-South,NFC,4,1,10,1,Alshon Jeffery,11,WR,9,0,0,0,11,-2,Shotgun,LS
1955,2013,5,10/6/2013,1,12:00 PM,Early,L,1,0,Reg,Saints,NFC-South,NFC,4,2,1,1,Alshon Jeffery,11,WR,13,0,0,1,14,-1,Shotgun,LS
1956,2013,5,10/6/2013,1,12:00 PM,Early,L,1,0,Reg,Saints,NFC-South,NFC,4,1,10,1,Alshon Jeffery,11,WR,58,0,0,1,54,4,Under Center,LS
1958,2013,5,10/6/2013,1,12:00 PM,Early,L,1,0,Reg,Saints,NFC-South,NFC,4,1,10,1,Alshon Jeffery,11,WR,21,0,0,1,18,3,Shotgun,R
1966,2013,6,10/10/2013,5,7:30 PM,Primetime,W,1,0,Reg,Giants,NFC-East,NFC,2,1,10,1,Alshon Jeffery,11,WR,27,0,0,1,22,5,Under Center,RS
1972,2013,6,10/10/2013,5,7:30 PM,Primetime,W,1,0,Reg,Giants,NFC-East,NFC,2,1,10,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Under Center,R
1980,2013,6,10/10/2013,5,7:30 PM,Primetime,W,1,0,Reg,Giants,NFC-East,NFC,3,2,20,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Under Center,RS
1984,2013,6,10/10/2013,5,7:30 PM,Primetime,W,1,0,Reg,Giants,NFC-East,NFC,3,1,10,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Under Center,LS
1992,2013,6,10/10/2013,5,7:30 PM,Primetime,W,1,0,Reg,Giants,NFC-East,NFC,4,1,10,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Under Center,RS
1995,2013,7,10/20/2013,1,12:00 PM,Early,L,0,0,Reg,Washington,NFC-East,NFC,1,1,10,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Shotgun,RS
2001,2013,7,10/20/2013,1,12:00 PM,Early,L,0,0,Reg,Washington,NFC-East,NFC,2,1,10,0,Alshon Jeffery,11,WR,0,0,1,0,0,0,Under Center,LS
2003,2013,10,11/10/2013,1,12:00 PM,Early,L,1,0,Reg,Lions,NFC-North,NFC,1,2,6,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Shotgun,R
2010,2013,10,11/10/2013,1,12:00 PM,Early,L,1,0,Reg,Lions,NFC-North,NFC,1,1,10,1,Alshon Jeffery,11,WR,11,0,0,1,-1,12,Pistol,R
2015,2013,10,11/10/2013,1,12:00 PM,Early,L,1,0,Reg,Lions,NFC-North,NFC,2,3,8,1,Alshon Jeffery,11,WR,18,0,0,1,17,1,Shotgun,M
2017,2013,10,11/10/2013,1,12:00 PM,Early,L,1,0,Reg,Lions,NFC-North,NFC,2,2,8,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Under Center,LS
2018,2013,10,11/10/2013,1,12:00 PM,Early,L,1,0,Reg,Lions,NFC-North,NFC,2,3,8,1,Alshon Jeffery,11,WR,13,0,0,1,13,0,Shotgun,L
2019,2013,10,11/10/2013,1,12:00 PM,Early,L,1,0,Reg,Lions,NFC-North,NFC,2,3,7,1,Alshon Jeffery,11,WR,12,0,0,1,8,4,Shotgun,L
2025,2013,10,11/10/2013,1,12:00 PM,Early,L,1,0,Reg,Lions,NFC-North,NFC,3,1,10,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Shotgun,L
2026,2013,10,11/10/2013,1,12:00 PM,Early,L,1,0,Reg,Lions,NFC-North,NFC,3,2,10,1,Alshon Jeffery,11,WR,18,0,0,1,18,0,Under Center,RS
2027,2013,10,11/10/2013,1,12:00 PM,Early,L,1,0,Reg,Lions,NFC-North,NFC,3,1,10,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Shotgun,R
2032,2013,10,11/10/2013,1,12:00 PM,Early,L,1,0,Reg,Lions,NFC-North,NFC,3,3,8,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Shotgun,RS
2034,2013,10,11/10/2013,1,12:00 PM,Early,L,1,0,Reg,Lions,NFC-North,NFC,4,2,6,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Shotgun,L
2035,2013,10,11/10/2013,1,12:00 PM,Early,L,1,0,Reg,Lions,NFC-North,NFC,4,3,6,1,Alshon Jeffery,11,WR,12,0,0,1,8,4,Shotgun,M
2038,2013,10,11/10/2013,1,12:00 PM,Early,L,1,0,Reg,Lions,NFC-North,NFC,4,1,19,1,Alshon Jeffery,11,WR,5,0,0,0,3,2,Under Center,R
2040,2013,10,11/10/2013,1,12:00 PM,Early,L,1,0,Reg,Lions,NFC-North,NFC,4,3,14,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Under Center,RS
2042,2013,10,11/10/2013,1,12:00 PM,Early,L,1,0,Reg,Lions,NFC-North,NFC,4,3,11,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Shotgun,LS
2049,2013,15,12/15/2013,1,12:00 PM,Early,W,0,0,Reg,Browns,AFC-North,AFC,1,3,4,1,Alshon Jeffery,11,WR,8,0,0,1,7,1,Shotgun,R
2051,2013,15,12/15/2013,1,12:00 PM,Early,W,0,0,Reg,Browns,AFC-North,AFC,2,3,8,1,Alshon Jeffery,11,WR,4,0,0,0,-1,5,Shotgun,R
2058,2013,15,12/15/2013,1,12:00 PM,Early,W,0,0,Reg,Browns,AFC-North,AFC,2,3,8,1,Alshon Jeffery,11,WR,7,0,0,0,2,5,Shotgun,L
2063,2013,15,12/15/2013,1,12:00 PM,Early,W,0,0,Reg,Browns,AFC-North,AFC,3,3,5,1,Alshon Jeffery,11,WR,8,0,0,1,7,1,Shotgun,R
2064,2013,15,12/15/2013,1,12:00 PM,Early,W,0,0,Reg,Browns,AFC-North,AFC,3,2,8,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Shotgun,LS
2070,2013,15,12/15/2013,1,12:00 PM,Early,W,0,0,Reg,Browns,AFC-North,AFC,4,3,11,1,Alshon Jeffery,11,WR,45,1,0,1,44,1,Under Center,RS
2076,2013,16,12/22/2013,1,7:30 PM,Primetime,L,0,0,Reg,Eagles,NFC-East,NFC,1,1,10,1,Alshon Jeffery,11,WR,8,0,0,0,1,7,Shotgun,RS
2078,2013,16,12/22/2013,1,7:30 PM,Primetime,L,0,0,Reg,Eagles,NFC-East,NFC,2,1,10,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Under Center,R
2080,2013,16,12/22/2013,1,7:30 PM,Primetime,L,0,0,Reg,Eagles,NFC-East,NFC,2,3,10,1,Alshon Jeffery,11,WR,13,0,0,1,12,1,Shotgun,LS
2081,2013,16,12/22/2013,1,7:30 PM,Primetime,L,0,0,Reg,Eagles,NFC-East,NFC,2,1,10,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Shotgun,RS
2088,2013,16,12/22/2013,1,7:30 PM,Primetime,L,0,0,Reg,Eagles,NFC-East,NFC,2,1,10,1,Alshon Jeffery,11,WR,21,0,0,1,21,0,Shotgun,RS
2090,2013,16,12/22/2013,1,7:30 PM,Primetime,L,0,0,Reg,Eagles,NFC-East,NFC,2,2,10,1,Alshon Jeffery,11,WR,17,0,0,1,17,0,Shotgun,M
2096,2013,16,12/22/2013,1,7:30 PM,Primetime,L,0,0,Reg,Eagles,NFC-East,NFC,3,1,10,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Shotgun,L
2099,2013,16,12/22/2013,1,7:30 PM,Primetime,L,0,0,Reg,Eagles,NFC-East,NFC,3,4,5,1,Alshon Jeffery,11,WR,7,0,0,1,7,0,Shotgun,L
2107,2013,16,12/22/2013,1,7:30 PM,Primetime,L,0,0,Reg,Eagles,NFC-East,NFC,4,3,3,1,Alshon Jeffery,11,WR,10,0,0,1,5,5,Shotgun,R
2110,2013,17,12/29/2013,1,3:25 PM,Late,L,1,0,Reg,Packers,NFC-North,NFC,1,3,3,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Shotgun,R
2116,2013,17,12/29/2013,1,3:25 PM,Late,L,1,0,Reg,Packers,NFC-North,NFC,2,2,6,1,Alshon Jeffery,11,WR,1,0,0,0,-1,2,Pistol,R
2118,2013,17,12/29/2013,1,3:25 PM,Late,L,1,0,Reg,Packers,NFC-North,NFC,2,3,10,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Shotgun,M
2119,2013,17,12/29/2013,1,3:25 PM,Late,L,1,0,Reg,Packers,NFC-North,NFC,2,2,5,1,Alshon Jeffery,11,WR,12,0,0,0,10,2,Shotgun,R
2120,2013,17,12/29/2013,1,3:25 PM,Late,L,1,0,Reg,Packers,NFC-North,NFC,3,3,4,1,Alshon Jeffery,11,WR,67,0,0,1,33,34,Shotgun,LS
2128,2013,17,12/29/2013,1,3:25 PM,Late,L,1,0,Reg,Packers,NFC-North,NFC,4,3,17,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Shotgun,LS
2130,2013,17,12/29/2013,1,3:25 PM,Late,L,1,0,Reg,Packers,NFC-North,NFC,4,1,10,0,Alshon Jeffery,11,WR,0,0,0,0,0,0,Shotgun,LS
2132,2013,17,12/29/2013,1,3:25 PM,Late,L,1,0,Reg,Packers,NFC-North,NFC,4,3,10,0,Alshon Jeffery,11,WR,0,0,1,0,0,0,Shotgun,RS
2134,2014,1,9/7/2014,1,12:00 PM,Early,L,1,1,Reg,Bills,AFC-East,AFC,1,1,10,1,Alshon Jeffery,11,WR,44,0,0,1,35,9,Shotgun,LS
2136,2014,1,9/7/2014,1,12:00 PM,Early,L,1,1,Reg,Bills,AFC-East,AFC,1,1,10,1,Alshon Jeffery,11,WR,12,0,0,1,12,0,Under Center,L
